name,pophoh,poptotl,popownr,poprntr,mhhinc,mhhinco,mhhincr,pophohm,popttlm,popwnrm,pprntrm,mhhincmo,mhhincom,mhhncrm,geoid,poptot,pophis,popnhis,popnh1r,popwhit,popblck,popamnd,popasin,poppacl,popth1r,ppnhs2r,bct2020,geometry,in_census,nun_res,nun_rs,nun_nycha,fzr20_100y,fzr50_100y,fzr50_500y,ncondo,ncoop,nsfh,nmfh,nuncondo,nuncoop,nunsfh,nunmfh,nres_bf1960,nres_60t79,nres_80t99,nres_2000af,nun_bf1960,nun_60t79,nun_80t99,nun_2000af,nunbf60sfh,nun60t79sfh,nun80t99sfh,nun00afsfh,nunbf60mfh,nun60t79mfh,nun80t99mfh,nun00afmfh,fp_cat,in_mp
"Census Tract 127.01, Bronx County, New York",732,1968,352,1616,38000,65100,33968,101,484,184,502,13393,30135,7632,36005012701,2184,1567,617,591,34,492,2,45,1,17,26,2012701,"list(list(c(-73.894836, -73.893868, -73.892933, -73.891913, -73.890905, -73.88885, -73.887895, -73.888806, -73.890663, -73.89139, -73.892005, -73.8932, -73.893898, -73.894871, -73.894836, 40.82624, 40.826515, 40.826787, 40.826794, 40.826788, 40.826768, 40.826743, 40.826257, 40.825307, 40.824941, 40.824723, 40.824008, 40.823984, 40.823937, 40.82624)))",1,907,208,143,0,0,0,0,5,84,49,0,112,84,711,45,0,89,4,746,0,95,66,0,0,84,0,634,0,11,66,NA,1
"Census Tract 373, Bronx County, New York",1899,6039,685,5354,28083,62716,17978,315,1436,383,1417,20379,38367,10995,36005037300,6117,3904,2213,2088,109,1880,11,43,1,44,125,2037300,"list(list(c(-73.893374, -73.892421, -73.891544, -73.890936, -73.8899, -73.889332, -73.890499, -73.889879, -73.889518, -73.888953, -73.888032, -73.887518, -73.886436, -73.888155, -73.888837, -73.88947, -73.889965, -73.891125, -73.892901, -73.893374, 40.846401, 40.848003, 40.849467, 40.850477, 40.849869, 40.850832, 40.851224, 40.85207, 40.851803, 40.851441, 40.850997, 40.850949, 40.850309, 40.848929, 40.848134, 40.847384, 40.846793, 40.84541, 40.846269, 40.846401)))",1,2446,941,0,0,0,0,1,10,48,215,16,480,48,1895,147,0,76,51,1440,0,260,739,25,0,23,0,935,0,237,723,NA,1
"Census Tract 119, Bronx County, New York",1763,5363,288,5075,30417,55221,29948,192,1159,228,1167,5132,21559,4855,36005011900,5703,4008,1695,1629,125,1429,18,25,0,32,66,2011900,"list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.886895, -73.88761, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823717, 40.823284, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",1,2042,720,103,0,0,0,2,3,0,130,78,44,0,1620,99,0,34,1,1532,0,165,3,0,0,0,0,1452,0,165,3,NA,1
"Census Tract 391, Bronx County, New York",2756,7524,580,6944,30923,88612,26396,453,1062,534,985,18890,1266,10424,36005039100,7210,5414,1796,1724,560,986,18,105,4,51,72,2039100,"list(list(c(-73.89003, -73.888449, -73.887568, -73.886873, -73.886186, -73.885421, -73.884461, -73.883628, -73.884715, -73.885452, -73.886436, -73.887518, -73.888032, -73.888953, -73.889518, -73.889879, -73.88994, -73.889607, -73.89003, 40.854221, 40.856024, 40.855556, 40.855202, 40.85487, 40.854498, 40.854152, 40.853909, 40.851759, 40.85104, 40.850309, 40.850949, 40.850997, 40.851441, 40.851803, 40.85207, 40.852591, 40.853238, 40.854221)))",1,2710,1504,0,0,0,0,1,4,10,281,40,37,10,2549,248,7,6,35,2234,14,66,322,9,1,0,0,2188,13,66,282,NA,1
"Census Tract 79, Bronx County, New York",2345,6652,241,6411,31083,NA,30816,312,1062,271,1027,7336,NA,10311,36005007900,6826,4889,1937,1850,101,1622,3,67,0,57,87,2007900,"list(list(c(-73.908225, -73.907589, -73.906305, -73.905313, -73.90347, -73.901602, -73.901668, -73.901832, -73.902579, -73.90301, -73.90347, -73.903804, -73.904183, -73.904466, -73.905413, -73.90633, -73.907245, -73.906238, -73.90808, -73.908225, 40.816203, 40.816596, 40.817371, 40.817925, 40.818737, 40.819695, 40.819534, 40.819147, 40.81737, 40.816318, 40.815075, 40.814132, 40.813087, 40.812282, 40.812476, 40.812667, 40.812855, 40.815661, 40.816033, 40.816203)))",1,2548,852,917,0,0,0,0,0,17,124,0,0,17,2237,98,2,1,40,966,917,109,262,4,0,0,13,962,917,109,249,NA,1
"Census Tract 206.01, Bronx County, New York",864,2456,912,1544,48654,92969,29932,103,611,465,423,18731,53188,23231,36005020601,3277,1587,1690,1578,243,347,17,927,1,43,112,2020601,"list(list(c(-73.852914, -73.851683, -73.850678, -73.850011, -73.848781, -73.847316, -73.848701, -73.849559, -73.850166, -73.851684, -73.85207, -73.852207, -73.852331, -73.852914, 40.840086, 40.839261, 40.838575, 40.838115, 40.837271, 40.836264, 40.835103, 40.834409, 40.834355, 40.834201, 40.835625, 40.836347, 40.83701, 40.840086)))",1,973,153,132,0,0,0,0,0,46,253,0,0,46,919,236,26,4,33,571,199,11,184,41,5,0,0,530,194,11,184,NA,1
"Census Tract 35, Bronx County, New York",1374,3710,187,3523,29068,NA,28701,292,852,141,853,2672,NA,2057,36005003500,3726,2592,1134,1103,122,924,1,25,0,31,31,2003500,"list(list(c(-73.910948, -73.910019, -73.909075, -73.907245, -73.90633, -73.906852, -73.90726, -73.907537, -73.907839, -73.910693, -73.910366, -73.909596, -73.910238, -73.910948, 40.813621, 40.813432, 40.813233, 40.812855, 40.812667, 40.811209, 40.809937, 40.80906, 40.808206, 40.808809, 40.809645, 40.811777, 40.811929, 40.813621)))",1,1480,485,463,0,0,0,0,0,7,83,0,0,7,1463,70,1,9,10,708,463,27,272,7,0,0,0,701,463,27,272,NA,1
"Census Tract 215.01, Bronx County, New York",1319,4293,98,4195,39875,NA,39225,221,889,115,886,15698,NA,14584,36005021501,4078,3005,1073,1027,49,929,0,21,0,28,46,2021501,"list(list(c(-73.921345, -73.920482, -73.919371, -73.918948, -73.916447, -73.915975, -73.915452, -73.916051, -73.917286, -73.918414, -73.919609, -73.920542, -73.921345, 40.84718, 40.848264, 40.849621, 40.850182, 40.851905, 40.851325, 40.850494, 40.850043, 40.849189, 40.848328, 40.847578, 40.846894, 40.84718)))",1,1398,938,0,0,0,0,0,1,0,50,0,61,0,1337,37,0,6,8,1337,0,12,49,0,0,0,0,1276,0,12,49,NA,1
"Census Tract 418, Bronx County, New York",1208,3474,1100,2374,52396,64773,51094,172,773,413,802,22461,9626,14154,36005041800,3752,1250,2502,2362,165,1792,30,207,3,165,140,2041800,"list(list(c(-73.862875, -73.861113, -73.859258, -73.858626, -73.856997, -73.856194, -73.855386, -73.854689, -73.854299, -73.855249, -73.85616, -73.856561, -73.856956, -73.859834, -73.860711, -73.86136, -73.861894, -73.862875, 40.895154, 40.897589, 40.900338, 40.900136, 40.899504, 40.899188, 40.898876, 40.898603, 40.89845, 40.897252, 40.895597, 40.894873, 40.894168, 40.895085, 40.895371, 40.894663, 40.894834, 40.895154)))",1,1308,603,0,0,0,0,0,1,42,253,0,21,42,1238,274,10,0,12,1162,43,0,96,42,0,0,0,1120,22,0,96,NA,1
"Census Tract 269, Bronx County, New York",1735,3600,449,3151,25039,108042,23086,596,763,239,766,20208,41977,16630,36005026900,4126,3089,1037,992,156,709,2,89,0,36,45,2026900,"list(list(c(-73.91434, -73.909804, -73.908605, -73.908526, -73.907104, -73.907, -73.906162, -73.905714, -73.904662, -73.904459, -73.904397, -73.903668, -73.904483, -73.907134, -73.908488, -73.908826, -73.909099, -73.90904, -73.910756, -73.91252, -73.912704, -73.913234, -73.91434, 40.862521, 40.868282, 40.871678, 40.871792, 40.872978, 40.873455, 40.873243, 40.873138, 40.872645, 40.872423, 40.870348, 40.869495, 40.869388, 40.867922, 40.865345, 40.864854, 40.863001, 40.862679, 40.861651, 40.861878, 
40.861916, 40.862048, 40.862521)))",1,1675,791,233,0,0,0,0,2,27,61,0,247,27,1214,72,7,0,11,888,474,0,126,27,0,0,0,676,412,0,126,NA,1
"Census Tract 158, Bronx County, New York",441,1299,644,655,64712,101000,NA,76,341,238,261,18716,47277,NA,36005015800,1442,775,667,638,513,72,0,40,1,12,29,2015800,"list(list(c(-73.821676, -73.818322, -73.817045, -73.816148, -73.81914, -73.819472, -73.820977, -73.821676, 40.826202, 40.827835, 40.825957, 40.821809, 40.822347, 40.822839, 40.825594, 40.826202)))",1,569,142,0,0,0,1,0,0,83,147,0,0,83,484,110,77,30,13,171,276,91,29,61,22,0,0,110,254,91,29,2050_500y,1
"Census Tract 340, Bronx County, New York",1821,5614,962,4652,58117,92813,53716,215,788,304,869,6745,32500,10538,36005034000,4858,2305,2553,2411,422,1647,15,274,3,50,142,2034000,"list(list(c(-73.864385, -73.864326, -73.864266, -73.863332, -73.861379, -73.861391, -73.861433, -73.861498, -73.861537, -73.861562, -73.8621, -73.862577, -73.86352, -73.864461, -73.864385, 40.867839, 40.869656, 40.871389, 40.871375, 40.871336, 40.870923, 40.869603, 40.867782, 40.866302, 40.86555, 40.865537, 40.865527, 40.865508, 40.865489, 40.867839)))",1,1722,676,0,0,0,0,0,2,40,227,0,203,40,1468,187,69,0,13,1486,134,0,91,20,20,0,0,1263,114,0,91,NA,1
"Census Tract 365.02, Bronx County, New York",758,2373,144,2229,28333,79063,26542,90,449,122,445,10265,49628,9522,36005036502,2449,1623,826,790,52,672,11,22,3,30,36,2036502,"list(list(c(-73.890036, -73.889552, -73.889017, -73.886843, -73.88566, -73.88612, -73.886185, -73.888523, -73.890554, -73.890036, 40.843195, 40.843771, 40.84437, 40.843298, 40.84271, 40.840424, 40.840105, 40.841483, 40.842678, 40.843195)))",1,946,519,0,0,0,0,0,0,10,116,0,0,10,934,58,0,0,68,599,0,0,345,10,0,0,0,589,0,0,345,NA,1
"Census Tract 162, Bronx County, New York",537,1648,768,880,83250,104773,NA,74,352,216,334,20333,54339,NA,36005016200,1908,915,993,963,708,96,2,114,0,43,30,2016200,"list(list(c(-73.825294, -73.821482, -73.819884, -73.818322, -73.821676, -73.823579, -73.825294, 40.829689, 40.831573, 40.829688, 40.827835, 40.826202, 40.827867, 40.829689)))",1,607,6,0,0,0,1,0,0,167,185,0,0,167,432,251,86,5,10,386,172,25,16,147,16,0,4,239,156,25,12,2050_500y,1
"Census Tract 233.01, Bronx County, New York",1601,3742,205,3537,31446,70208,29886,174,576,100,571,15993,39221,8540,36005023301,4577,3008,1569,1499,78,1310,11,36,1,63,70,2023301,"list(list(c(-73.910695, -73.910582, -73.909215, -73.908411, -73.906993, -73.905999, -73.906059, -73.906767, -73.907487, -73.908582, -73.909749, -73.910674, -73.91168, -73.910695, 40.850019, 40.850182, 40.851801, 40.851319, 40.850371, 40.849392, 40.849321, 40.848541, 40.847804, 40.848023, 40.848256, 40.848438, 40.848639, 40.850019)))",1,1758,1297,0,0,0,0,0,1,1,57,0,44,1,1712,57,0,0,2,1562,0,0,195,1,0,0,0,1517,0,0,195,NA,1
"Census Tract 286, Bronx County, New York",470,949,536,413,79141,96094,65917,108,198,188,146,13740,20016,58470,36005028600,1395,445,950,923,619,66,2,206,0,30,27,2028600,"list(list(c(-73.850499, -73.848613, -73.848214, -73.846704, -73.844362, -73.844929, -73.84542, -73.84657, -73.847885, -73.849073, -73.850345, -73.851368, -73.850499, 40.850696, 40.85108, 40.851091, 40.851241, 40.851119, 40.850144, 40.84854, 40.847068, 40.845989, 40.847062, 40.848993, 40.850304, 40.850696)))",1,516,26,0,0,0,0,0,0,91,167,0,0,91,421,237,9,2,10,441,41,6,24,90,1,0,0,351,40,6,24,NA,1
"Census Tract 448, Bronx County, New York",661,2068,1561,507,101406,112788,NA,152,428,369,322,38194,37638,NA,36005044800,2007,268,1739,1682,30,1581,2,35,0,34,57,2044800,"list(list(c(-73.843367, -73.84248, -73.839649, -73.839655, -73.838985, -73.838407, -73.840147, -73.841034, -73.841921, -73.842788, -73.844165, -73.843367, 40.897072, 40.897267, 40.897891, 40.897249, 40.895602, 40.894061, 40.893677, 40.893482, 40.893285, 40.893094, 40.896896, 40.897072)))",1,701,0,0,0,0,0,0,0,178,238,0,0,178,521,273,104,7,32,433,180,20,66,136,40,0,2,297,140,20,64,NA,1
"Census Tract 408, Bronx County, New York",1733,4699,1194,3505,32917,105913,28000,242,824,547,722,14277,37047,12445,36005040800,4475,1931,2544,2421,110,2078,14,166,0,53,123,2040800,"list(list(c(-73.863863, -73.862652, -73.861788, -73.85991, -73.858908, -73.859301, -73.859684, -73.860081, -73.860452, -73.863336, -73.863728, -73.8646, -73.863863, 40.88975, 40.891822, 40.89155, 40.890948, 40.890632, 40.889924, 40.889223, 40.888511, 40.887804, 40.88872, 40.888017, 40.8883, 40.88975)))",1,1582,992,0,0,0,0,0,0,34,184,0,0,34,1542,165,31,5,17,1192,175,89,120,31,3,0,0,1161,172,89,120,NA,1
"Census Tract 223, Bronx County, New York",1993,5150,0,5150,27232,NA,27232,388,880,17,880,9730,NA,9730,36005022300,5063,4053,1010,945,74,772,2,34,0,63,65,2022300,"list(list(c(-73.916892, -73.916184, -73.915296, -73.914472, -73.913646, -73.912698, -73.913137, -73.913755, -73.915088, -73.91594, -73.916783, -73.917683, -73.916892, 40.841347, 40.842335, 40.841962, 40.84162, 40.841283, 40.84093, 40.839814, 40.838743, 40.839225, 40.839552, 40.839881, 40.840225, 40.841347)))",1,1829,1259,0,0,0,0,0,0,0,27,0,0,0,1829,27,0,0,0,1829,0,0,0,0,0,0,0,1829,0,0,0,NA,1
"Census Tract 27.01, Bronx County, New York",1027,2672,11,2661,17907,NA,17926,141,588,16,587,2742,NA,2729,36005002701,3080,2063,1017,978,35,900,6,28,0,9,39,2002701,"list(list(c(-73.917964, -73.917479, -73.914495, -73.914997, -73.913478, -73.914589, -73.917315, -73.918819, -73.917964, 40.806116, 40.806823, 40.805561, 40.804872, 40.804263, 40.803797, 40.804298, 40.804905, 40.806116)))",1,1277,246,815,0,0,0,0,0,0,21,0,0,0,1270,18,2,0,1,296,815,0,159,0,0,0,0,296,815,0,159,NA,1
"Census Tract 237.02, Bronx County, New York",414,1330,11,1319,46346,NA,46923,121,529,14,531,22330,NA,22237,36005023702,1179,900,279,271,27,212,5,17,0,10,8,2023702,"list(list(c(-73.898277, -73.897729, -73.897068, -73.895884, -73.896425, -73.896848, -73.897358, -73.898832, -73.898277, 40.860332, 40.861349, 40.862534, 40.862258, 40.860997, 40.85999, 40.858763, 40.859305, 40.860332)))",1,414,289,0,0,0,0,0,0,2,11,0,0,2,339,13,0,0,0,341,0,0,0,2,0,0,0,339,0,0,0,NA,1
"Census Tract 153, Bronx County, New York",1645,4284,633,3651,32566,91618,29716,301,648,279,660,11274,24803,14088,36005015300,4258,2077,2181,2115,72,1919,10,77,1,36,66,2015300,"list(list(c(-73.8969, -73.896692, -73.896473, -73.896422, -73.896369, -73.896966, -73.895139, -73.893946, -73.891481, -73.891387, -73.890823, -73.892158, -73.891737, -73.892685, -73.89336, -73.894692, -73.896696, -73.897172, -73.8969, 40.831034, 40.831966, 40.833047, 40.83327, 40.83351, 40.834343, 40.835429, 40.836431, 40.836687, 40.835758, 40.835809, 40.833645, 40.832664, 40.832344, 40.830152, 40.830619, 40.830414, 40.830368, 40.831034)))",1,1595,675,0,0,0,0,0,3,147,153,0,112,147,1335,113,1,147,42,868,3,266,457,9,0,132,6,747,3,134,451,NA,1
"Census Tract 38, Kings County, New York",559,1335,937,398,82454,125724,65862,63,232,229,132,42648,39799,11263,36047003800,1529,165,1364,1290,1054,16,0,203,0,17,74,3003800,"list(list(c(-74.0387807086057, -74.0387040220815, -74.037245, -74.032317, -74.032593, -74.032874, -74.033155, -74.035836, -74.036926, -74.0393851747986, -74.0387807086057, 40.6357399832871, 40.6359700240455, 40.635985, 40.634791, 40.63411, 40.633429, 40.632735, 40.63337, 40.633639, 40.6339267330072, 40.6357399832871)))",1,718,111,0,0,0,1,0,2,89,154,0,205,89,422,243,1,1,0,713,2,1,0,88,0,1,0,420,2,0,0,2050_500y,1
"Census Tract 41, Kings County, New York",1312,3253,1345,1908,192500,250001,167750,177,538,346,444,16785,NA,43062,36047004100,3398,387,3011,2812,2184,290,2,318,0,18,199,3004100,"list(list(c(-73.987859, -73.987429, -73.987, -73.986352, -73.986155, -73.983988, -73.981817, -73.982661, -73.983953, -73.986119, -73.988289, -73.987859, 40.686504, 40.687138, 40.687773, 40.688724, 40.689018, 40.688175, 40.68733, 40.686086, 40.684182, 40.685024, 40.685869, 40.686504)))",1,1961,266,0,0,0,0,9,8,98,331,26,72,98,1326,413,0,0,32,1279,0,0,241,86,0,0,12,1097,0,0,229,NA,1
"Census Tract 52.02, Kings County, New York",1337,2498,1500,998,93750,115947,72167,157,294,321,223,17409,30454,12575,36047005202,2668,264,2404,2319,2068,38,1,197,0,15,85,3005202,"list(list(c(-74.0413991059603, -74.040475, -74.038095, -74.035437, -74.035711, -74.03599, -74.036972, -74.036895, -74.039183, -74.0405657471589, -74.0409710419106, -74.041004213062, -74.0413991059603, 40.6205710940133, 40.62079, 40.620585, 40.619956, 40.619275, 40.618596, 40.618795, 40.618663, 40.617856, 40.6170530913903, 40.6187640327003, 40.6189040638579, 40.6205710940133)))",1,1514,310,0,0,0,0,2,8,53,61,44,892,53,525,109,7,5,3,1096,356,11,51,53,0,0,0,497,10,11,7,NA,1
"Census Tract 162, Kings County, New York",1144,2149,896,1253,75337,80099,75078,186,400,321,398,25969,21289,43301,36047016200,2218,373,1845,1757,1296,130,1,305,0,25,88,3016200,"list(list(c(-74.0363884489415, -74.034871, -74.033648, -74.032637, -74.031947, -74.031515, -74.031228, -74.030485, -74.0287, -74.0275, -74.026646, -74.026302, -74.026656, -74.028385, -74.028972, -74.031451, -74.031921, -74.035053, -74.0354949628475, -74.0358058157354, -74.0363843681629, -74.0363884489415, 40.6099169887477, 40.611366, 40.612833, 40.61401, 40.614815, 40.61533, 40.615723, 40.616518, 40.61563, 40.616961, 40.616508, 40.616335, 40.615922, 40.614249, 40.613516, 40.611117, 40.61083, 40.609544, 
40.609075003863, 40.6093679389571, 40.6099131431883, 40.6099169887477)))",1,1161,177,0,0,0,0,3,3,122,92,86,275,122,408,205,9,3,3,709,22,82,78,122,0,0,0,382,22,2,2,NA,1
"Census Tract 199, Kings County, New York",1771,3722,1223,2499,118051,176818,115451,270,479,307,512,18985,59889,13020,36047019900,3978,472,3506,3264,1838,1039,4,349,0,34,242,3019900,"list(list(c(-73.96949, -73.968491, -73.967493, -73.96653, -73.965525, -73.965082, -73.964779, -73.964454, -73.967477, -73.968664, -73.969062, -73.96949, 40.686288, 40.686403, 40.686518, 40.686627, 40.686744, 40.684546, 40.68304, 40.681125, 40.681754, 40.682, 40.684157, 40.686288)))",1,2438,615,0,0,0,0,17,4,31,215,181,69,31,2052,236,0,1,29,1357,0,97,851,22,0,0,9,1192,0,97,763,NA,1
"Census Tract 219, Kings County, New York",1611,3610,941,2669,89402,NA,90000,175,602,590,390,24673,NA,21664,36047021900,4225,395,3830,3549,1594,1633,0,294,0,28,281,3021900,"list(list(c(-73.957657, -73.957339, -73.957244, -73.957021, -73.956703, -73.953999, -73.952937, -73.953019, -73.953102, -73.953187, -73.95327, -73.955269, -73.957974, -73.957657, 40.671536, 40.672414, 40.672674, 40.673294, 40.674171, 40.673632, 40.673571, 40.672681, 40.671791, 40.670898, 40.670007, 40.670125, 40.670657, 40.671536)))",1,1986,625,0,0,0,0,6,1,15,308,54,16,15,1711,327,0,0,3,1523,0,0,273,15,0,0,0,1438,0,0,273,NA,1
"Census Tract 178, Kings County, New York",896,2849,995,1854,75464,76287,64009,119,432,356,370,11609,3650,27401,36047017800,2959,545,2414,2357,966,45,2,1336,0,8,57,3017800,"list(list(c(-74.008369, -74.006625, -74.004855, -74.003425, -74.002665, -74.000935, -74.001309, -74.00195, -74.002644, -74.004934, -74.006172, -74.00691, -74.008369, 40.605217, 40.606895, 40.608594, 40.609969, 40.60957, 40.608637, 40.608344, 40.607818, 40.607257, 40.605075, 40.603887, 40.604338, 40.605217)))",1,947,116,0,0,0,0,9,0,15,238,94,0,15,799,201,13,22,26,656,30,74,148,15,0,0,0,641,30,66,62,NA,1
"Census Tract 179, Kings County, New York",1566,4056,2072,1984,90769,99828,43661,149,662,716,314,32042,48946,29867,36047017900,3895,590,3305,3094,954,1818,15,291,0,16,211,3017900,"list(list(c(-73.974281, -73.973119, -73.972398, -73.971433, -73.96949, -73.969062, -73.968664, -73.97064, -73.971742, -73.972324, -73.97378, -73.973922, -73.974281, 40.685513, 40.685781, 40.685954, 40.686064, 40.686288, 40.684157, 40.682, 40.682414, 40.682646, 40.682768, 40.683061, 40.683756, 40.685513)))",1,1477,44,300,0,0,0,5,4,9,207,90,632,9,666,80,2,108,34,290,604,352,112,9,0,0,0,249,0,321,96,NA,1
"Census Tract 185.01, Kings County, New York",1838,4009,214,3795,36042,201479,31772,291,704,243,679,8706,878,6699,36047018501,4461,1332,3129,2988,316,2138,14,493,6,21,141,3018501,"list(list(c(-73.976443, -73.975486, -73.973485, -73.97247, -73.972451, -73.971872, -73.972911, -73.973855, -73.975036, -73.975848, -73.975987, -73.976188, -73.976375, -73.976443, 40.696371, 40.696315, 40.696246, 40.696207, 40.696112, 40.69321, 40.693251, 40.693287, 40.693331, 40.693361, 40.694089, 40.695098, 40.696036, 40.696371)))",1,1287,129,850,0,0,0,4,0,1,48,33,0,1,1239,39,3,1,10,1180,6,4,83,1,0,0,0,1177,6,4,52,NA,1
"Census Tract 197, Kings County, New York",1758,3646,2261,1385,104318,137250,101133,224,436,366,381,47984,59993,17995,36047019700,3585,312,3273,3019,1879,866,4,249,0,21,254,3019700,"list(list(c(-73.970131, -73.969103, -73.968078, -73.967115, -73.966135, -73.965188, -73.96481, -73.964195, -73.962836, -73.962547, -73.963509, -73.96447, -73.965525, -73.96653, -73.967493, -73.968491, -73.96949, -73.969783, -73.970131, 40.689506, 40.689468, 40.689452, 40.689561, 40.689673, 40.689782, 40.688326, 40.688396, 40.688555, 40.687089, 40.686977, 40.686865, 40.686744, 40.686627, 40.686518, 40.686403, 40.686288, 40.687752, 40.689506)))",1,1817,291,0,0,0,0,10,5,37,253,68,649,37,1054,290,2,7,6,1769,8,21,10,34,1,0,2,1021,7,18,8,NA,1
"Census Tract 82, Kings County, New York",1392,3622,836,2786,47109,96346,37826,287,618,459,439,28659,89351,28066,36047008200,4008,2667,1341,1242,634,112,2,445,3,46,99,3008200,"list(list(c(-74.010556, -74.010308, -74.009107, -74.008545, -74.00675, -74.00449, -74.005074, -74.005659, -74.006824, -74.00718, -74.008758, -74.009082, -74.009524, -74.010915, -74.010556, 40.651224, 40.651483, 40.652625, 40.6532, 40.652071, 40.650706, 40.650147, 40.649584, 40.648465, 40.648679, 40.649633, 40.649829, 40.650097, 40.650938, 40.651224)))",1,1353,281,0,0,0,0,1,6,9,309,8,55,9,1246,309,1,2,13,1191,2,6,119,9,0,0,0,1127,2,6,111,NA,1
"Census Tract 122, Kings County, New York",1563,5144,1092,4052,49526,67614,39554,185,911,566,843,12422,42881,13117,36047012200,5521,2357,3164,3124,630,73,7,2394,1,19,40,3012200,"list(list(c(-74.02019, -74.019608, -74.019024, -74.018422, -74.016167, -74.013961, -74.014567, -74.015146, -74.016068, -74.016306, -74.016752, -74.018897, -74.019554, -74.021087, -74.02019, 40.639145, 40.639704, 40.640264, 40.640846, 40.639483, 40.638153, 40.637571, 40.637014, 40.636139, 40.635896, 40.63544, 40.636856, 40.637091, 40.638262, 40.639145)))",1,1461,417,0,0,0,0,0,1,6,370,0,17,6,1355,376,0,0,1,1370,0,0,8,6,0,0,0,1347,0,0,8,NA,1
"Census Tract 147, Kings County, New York",888,2646,1370,1276,101100,153000,96705,110,336,306,270,9676,50644,12128,36047014700,2242,631,1611,1516,1287,77,1,122,1,28,95,3014700,"list(list(c(-73.9918, -73.991217, -73.990635, -73.990052, -73.988924, -73.988769, -73.987296, -73.988428, -73.989013, -73.989593, -73.990188, -73.992383, -73.9918, 40.659458, 40.660019, 40.660579, 40.661139, 40.662283, 40.662432, 40.660442, 40.65925, 40.658691, 40.658134, 40.657601, 40.658899, 40.659458)))",1,1025,42,0,0,0,0,19,1,42,218,258,6,42,718,232,0,1,46,687,0,4,320,31,0,0,11,650,0,4,64,NA,1
"Census Tract 36, Kings County, New York",1800,3456,1419,2037,72642,90543,61023,228,394,230,351,18302,20294,22560,36047003600,3959,660,3299,3182,2404,104,1,653,0,20,117,3003600,"list(list(c(-74.032874, -74.032593, -74.032317, -74.032037, -74.031826, -74.031547, -74.031268, -74.028658, -74.029134, -74.029357, -74.029633, -74.029913, -74.030191, -74.030473, -74.033155, -74.032874, 40.633429, 40.63411, 40.634791, 40.635475, 40.635993, 40.636673, 40.637357, 40.636546, 40.635373, 40.634837, 40.634153, 40.633474, 40.632791, 40.632099, 40.632735, 40.633429)))",1,1894,467,0,0,0,0,0,21,105,133,0,947,105,834,238,7,14,0,1826,18,42,0,104,1,0,0,824,10,0,0,NA,1
"Census Tract 250, Kings County, New York",538,1793,774,1019,54034,54375,53438,74,392,139,432,7502,18750,11877,36047025000,1748,275,1473,1461,264,9,0,1179,0,9,12,3025000,"list(list(c(-73.997713, -73.997484, -73.997241, -73.997017, -73.996878, -73.996788, -73.994649, -73.994325, -73.99255, -73.99313, -73.994293, -73.99492, -73.995546, -73.996393, -73.996711, -73.998295, -73.997713, 40.62368, 40.62452, 40.625289, 40.626062, 40.62653, 40.626826, 40.625698, 40.625343, 40.624274, 40.623715, 40.622597, 40.621994, 40.621393, 40.620582, 40.620763, 40.621619, 40.62368)))",1,524,16,0,0,0,0,1,0,36,191,18,0,36,465,209,13,0,6,459,27,0,33,36,0,0,0,423,27,0,15,NA,1
"Census Tract 256, Kings County, New York",925,3166,1321,1845,57740,65469,48909,151,700,346,677,25356,27222,27923,36047025600,3366,373,2993,2927,958,33,0,1906,0,30,66,3025600,"list(list(c(-73.989271, -73.988688, -73.988066, -73.98586, -73.983668, -73.981438, -73.981748, -73.98266, -73.983222, -73.98545, -73.987651, -73.989851, -73.989271, 40.61669, 40.617249, 40.617852, 40.616522, 40.615185, 40.613838, 40.613554, 40.612693, 40.612122, 40.61347, 40.6148, 40.61613, 40.61669)))",1,1043,112,0,0,0,0,2,0,115,328,12,0,115,899,432,4,6,3,983,9,17,17,115,0,0,0,868,9,17,5,NA,1
"Census Tract 259.02, Kings County, New York",1357,3650,209,3441,17795,NA,18413,249,638,324,575,5934,NA,5963,36047025902,3560,1707,1853,1765,52,1593,24,72,0,24,88,3025902,"list(list(c(-73.946797, -73.943949, -73.943526, -73.946366, -73.946638, -73.946797, 40.697903, 40.698222, 40.696031, 40.695704, 40.69718, 40.697903)))",1,1046,0,1046,0,0,0,0,0,0,1,0,0,0,1046,0,1,0,0,0,1046,0,0,0,0,0,0,0,1046,0,0,NA,1
"Census Tract 263, Kings County, New York",957,2047,535,1512,60168,153906,45948,155,308,217,287,22138,93706,15529,36047026300,2088,389,1699,1610,454,1058,9,76,0,13,89,3026300,"list(list(c(-73.948185, -73.945349, -73.942516, -73.942369, -73.942222, -73.942076, -73.944911, -73.947748, -73.947893, -73.948185, 40.690242, 40.690567, 40.690892, 40.69016, 40.689428, 40.688697, 40.68837, 40.688044, 40.688776, 40.690242)))",1,1043,57,123,0,0,0,4,0,4,207,29,0,4,1010,181,1,0,33,608,123,0,312,4,0,0,0,600,123,0,287,NA,1
