name,pophoh,poptotl,popownr,poprntr,mhhinc,mhhinco,mhhincr,pophohm,popttlm,popwnrm,pprntrm,mhhincmo,mhhincom,mhhncrm,geoid,poptot,pophis,popnhis,popnh1r,popwhit,popblck,popamnd,popasin,poppacl,popth1r,ppnhs2r,bct2020,geometry,in_census,nun_res,nun_rs,nun_nycha,fzr20_100y,fzr50_100y,fzr50_500y,ncondo,ncoop,nsfh,nmfh,nuncondo,nuncoop,nunsfh,nunmfh,nres_bf1960,nres_60t79,nres_80t99,nres_2000af,nun_bf1960,nun_60t79,nun_80t99,nun_2000af,nunbf60sfh,nun60t79sfh,nun80t99sfh,nun00afsfh,nunbf60mfh,nun60t79mfh,nun80t99mfh,nun00afmfh,fp_cat,in_mp
"Census Tract 505, Queens County, New York",525,1716,1084,632,80536,134375,53500,95,486,477,169,40492,67964,14391,36081050500,1768,493,1275,1253,476,58,1,698,1,19,22,4050500,"list(list(c(-73.877965, -73.875237, -73.871429, -73.871606, -73.873242, -73.874708, -73.876481, -73.877483, -73.87768, -73.877965, 40.72977, 40.730724, 40.729248, 40.729112, 40.727912, 40.72709, 40.728486, 40.72928, 40.729468, 40.72977)))",1,654,1,0,0,0,0,0,0,69,206,0,0,69,580,134,93,37,11,220,261,140,28,61,6,1,1,159,255,139,27,NA,1
"Census Tract 591, Queens County, New York",2153,5367,1227,4140,65670,70265,65387,314,849,441,923,3120,23773,4054,36081059100,5226,2624,2602,2456,2014,134,10,249,1,48,146,4059100,"list(list(c(-73.913435, -73.912291, -73.911179, -73.909963, -73.909222, -73.908481, -73.907741, -73.907, -73.906257, -73.907477, -73.908579, -73.907836, -73.908989, -73.90973, -73.910471, -73.911212, -73.911952, -73.912694, -73.913435, 40.70766, 40.708782, 40.709868, 40.711057, 40.710621, 40.710183, 40.709744, 40.709306, 40.708867, 40.707677, 40.706598, 40.70616, 40.705032, 40.705471, 40.705908, 40.706346, 40.706784, 40.707223, 40.70766)))",1,2057,0,0,0,0,0,0,0,8,580,0,0,8,2021,539,40,0,9,1910,89,0,30,8,0,0,0,1902,89,0,30,NA,1
"Census Tract 606, Queens County, New York",473,1158,1063,95,78036,87634,36379,74,218,215,90,43233,13148,477,36081060600,1328,89,1239,1182,18,1125,3,25,2,9,57,4060600,"list(list(c(-73.738319, -73.737517, -73.736642, -73.733164, -73.732297, -73.731445, -73.732201, -73.733107, -73.73485, -73.735725, -73.737465, -73.739223, -73.738319, 40.692782, 40.694318, 40.694044, 40.692955, 40.692683, 40.692386, 40.690934, 40.6892, 40.689725, 40.689993, 40.690515, 40.691048, 40.692782)))",1,442,0,0,0,0,0,0,0,348,42,0,0,348,92,373,16,0,1,416,22,0,2,338,10,0,0,78,12,0,2,NA,1
"Census Tract 610, Queens County, New York",437,1554,1509,45,152083,153281,NA,46,223,218,68,41712,31206,NA,36081061000,1204,63,1141,1103,6,1073,0,1,0,23,38,4061000,"list(list(c(-73.74722, -73.746243, -73.74603, -73.745105, -73.744464, -73.743801, -73.740112, -73.739223, -73.740077, -73.741041, -73.741229, -73.74745, -73.74722, 40.689715, 40.691279, 40.69156, 40.692783, 40.692617, 40.692431, 40.691317, 40.691048, 40.689416, 40.68779, 40.687493, 40.689351, 40.689715)))",1,375,0,2,0,0,0,0,0,322,26,0,0,322,53,340,4,2,2,364,4,3,4,316,4,1,1,48,0,2,3,NA,1
"Census Tract 620, Queens County, New York",482,1490,1347,143,97554,98641,NA,70,219,232,73,16137,19284,NA,36081062000,1419,120,1299,1223,22,1184,5,0,0,12,76,4062000,"list(list(c(-73.741991, -73.740858, -73.740787, -73.739737, -73.735822, -73.73562, -73.734469, -73.733741, -73.73377, -73.734002, -73.73416, -73.734815, -73.734992, -73.735853, -73.738546, -73.741128, -73.741991, 40.680751, 40.682786, 40.682763, 40.683531, 40.682255, 40.681871, 40.681352, 40.681131, 40.68103, 40.680426, 40.680118, 40.678847, 40.678506, 40.678771, 40.679627, 40.680475, 40.680751)))",1,479,0,0,0,0,0,0,0,456,11,0,0,456,22,460,5,1,1,470,5,1,2,450,5,1,0,20,0,0,2,NA,1
"Census Tract 1032.02, Queens County, New York",2256,8327,2775,5552,72736,83150,62264,386,1325,795,1167,9865,66171,25226,36081103202,6860,2213,4647,4490,2946,1319,22,90,0,113,157,4103202,"list(list(c(-73.754419, -73.752914, -73.752421, -73.749883, -73.746942, -73.745492, -73.744451, -73.743204, -73.743213, -73.741148, -73.740571, -73.74079, -73.742318, -73.743138, -73.74574, -73.746453, -73.747114, -73.747562, -73.748781, -73.749705, -73.75285, -73.753538, -73.754419, 40.604978, 40.606912, 40.607872, 40.610338, 40.611775, 40.611805, 40.610169, 40.607705, 40.607205, 40.60546, 40.60488, 40.604388, 40.602936, 40.60385, 40.603403, 40.603291, 40.603147, 40.603078, 40.602802, 40.60259, 
40.60426, 40.604569, 40.604978)))",1,2343,575,0,1,1,1,0,2,263,311,0,172,263,1680,415,60,10,91,1147,440,10,518,211,26,10,16,936,242,0,502,2020_100y,1
"Census Tract 641.02, Queens County, New York",0,0,0,0,NA,NA,NA,12,12,12,12,NA,NA,NA,36081064102,4,3,1,1,1,0,0,0,0,0,0,4064102,"list(list(c(-73.869314, -73.869156, -73.869033, -73.867247, -73.86564, -73.864728, -73.863794, -73.863254, -73.859975, -73.858288, -73.85815, -73.858579, -73.855292, -73.855293, -73.852151, -73.853692, -73.854641, -73.854746, -73.852766, -73.851099, -73.850533, -73.84568, -73.843016, -73.839011, -73.837147, -73.838091, -73.836962, -73.83843, -73.841564, -73.842938, -73.845025, -73.847017, -73.848221, -73.84908, -73.850706, -73.851662, -73.85306, -73.854125, -73.854566, -73.853775, -73.852711, -73.852664, 
-73.857444, -73.858331, -73.860164, -73.862452, -73.863687, -73.864557, -73.866814, -73.868717, -73.868917, -73.870708, -73.869314, 40.699355, 40.702893, 40.702904, 40.703052, 40.703183, 40.703259, 40.703334, 40.703392, 40.703109, 40.702911, 40.702898, 40.701238, 40.701844, 40.702596, 40.702251, 40.704315, 40.70529, 40.706767, 40.707442, 40.707901, 40.708067, 40.70848, 40.709176, 40.708555, 40.707957, 40.706133, 40.704212, 40.703386, 40.701101, 40.700554, 40.699359, 40.698842, 40.698545, 40.698351, 
40.700208, 40.700479, 40.70055, 40.700765, 40.700594, 40.69991, 40.698415, 40.697572, 40.696913, 40.696744, 40.696385, 40.695996, 40.695691, 40.69552, 40.695065, 40.694622, 40.69515, 40.697697, 40.699355)))",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"Census Tract 548, Queens County, New York",699,2458,2154,304,70625,71625,NA,119,370,349,148,24544,25514,NA,36081054800,2336,303,2033,1906,74,407,54,1096,1,274,127,4054800,"list(list(c(-73.754969, -73.754087, -73.753354, -73.751912, -73.75119, -73.749642, -73.748917, -73.746662, -73.747391, -73.748895, -73.749579, -73.750259, -73.751092, -73.752334, -73.753227, -73.755771, -73.754969, 40.72416, 40.724695, 40.725144, 40.723947, 40.724379, 40.725314, 40.725764, 40.723639, 40.723193, 40.722436, 40.722014, 40.72159, 40.721007, 40.720262, 40.721284, 40.72364, 40.72416)))",1,606,0,0,0,0,0,0,0,442,80,0,0,442,162,521,1,0,0,602,2,0,0,442,0,0,0,160,2,0,0,NA,1
"Census Tract 554, Queens County, New York",756,2674,1443,1231,78269,81250,70703,104,414,229,443,11164,29807,29004,36081055400,2487,500,1987,1871,239,418,13,1137,0,64,116,4055400,"list(list(c(-73.742421, -73.739049, -73.738715, -73.738402, -73.738156, -73.737155, -73.735455, -73.735156, -73.738567, -73.740045, -73.740312, -73.741047, -73.742225, -73.744588, -73.742421, 40.729919, 40.729165, 40.729086, 40.729012, 40.728957, 40.728732, 40.728346, 40.727312, 40.726358, 40.725452, 40.725705, 40.725257, 40.726366, 40.728586, 40.729919)))",1,722,152,0,0,0,0,0,0,429,65,0,0,429,285,484,5,1,4,699,6,2,7,424,4,0,1,275,2,2,6,NA,1
"Census Tract 558, Queens County, New York",538,1687,1243,444,90625,98939,51146,104,338,252,266,33485,61194,42531,36081055800,1710,412,1298,1189,146,284,36,549,3,171,109,4055800,"list(list(c(-73.74548, -73.744021, -73.743264, -73.742505, -73.741047, -73.739864, -73.737763, -73.739488, -73.74025, -73.741961, -73.742816, -73.744325, -73.74548, 40.722529, 40.723426, 40.723894, 40.72436, 40.725257, 40.724146, 40.722166, 40.721525, 40.721064, 40.720357, 40.72003, 40.721441, 40.722529)))",1,494,0,0,0,0,0,0,0,384,52,0,0,384,110,433,2,0,1,491,2,0,1,381,2,0,1,110,0,0,0,NA,1
"Census Tract 559, Queens County, New York",350,1191,302,889,69333,NA,68079,52,292,143,272,7646,NA,30707,36081055900,1178,717,461,417,210,77,2,101,1,26,44,4055900,"list(list(c(-73.905043, -73.901219, -73.900503, -73.899089, -73.898886, -73.899541, -73.90003, -73.901291, -73.901241, -73.90159, -73.902788, -73.903541, -73.904288, -73.905043, 40.693704, 40.697171, 40.696739, 40.695605, 40.69539, 40.694286, 40.693437, 40.692303, 40.691438, 40.691632, 40.692418, 40.692849, 40.693278, 40.693704)))",1,403,6,0,0,0,0,3,0,2,101,34,0,2,362,103,0,1,2,365,0,24,9,2,0,0,0,359,0,0,3,NA,1
"Census Tract 561, Queens County, New York",4,8,8,0,NA,NA,NA,6,12,12,12,NA,NA,NA,36081056100,20,5,15,11,10,0,1,0,0,0,4,4056100,"list(list(c(-73.901241, -73.901291, -73.90003, -73.897366, -73.896955, -73.893263, -73.893981, -73.895426, -73.892452, -73.891957, -73.888286, -73.886488, -73.88688, -73.887921, -73.888189, -73.888823, -73.886767, -73.885842, -73.882697, -73.881054, -73.876258, -73.876398, -73.875431, -73.872562, -73.871648, -73.870733, -73.869819, -73.869156, -73.869314, -73.870708, -73.868917, -73.874021, -73.879616, -73.883777, -73.884517, -73.889607, -73.89014, -73.89166, -73.892523, -73.8942, -73.894942, -73.896331, 
-73.896518, -73.901162, -73.901805, -73.901241, 40.691438, 40.692303, 40.693437, 40.694119, 40.69192, 40.692203, 40.693076, 40.694171, 40.695226, 40.694411, 40.695237, 40.696439, 40.696652, 40.697999, 40.69886, 40.699506, 40.699826, 40.699965, 40.700718, 40.699774, 40.701749, 40.702294, 40.702374, 40.702612, 40.702687, 40.702762, 40.702838, 40.702893, 40.699355, 40.697697, 40.69515, 40.694191, 40.691106, 40.687863, 40.686691, 40.684214, 40.685005, 40.684044, 40.683424, 40.685309, 40.684548, 40.68283, 
40.682397, 40.687878, 40.690766, 40.691438)))",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"Census Tract 566, Queens County, New York",489,1297,751,546,45365,87763,NA,169,339,189,330,44384,65945,NA,36081056600,1581,367,1214,1074,124,330,7,462,0,151,140,4056600,"list(list(c(-73.74025, -73.739488, -73.737763, -73.736917, -73.736337, -73.736026, -73.735304, -73.736958, -73.73984, -73.741961, -73.74025, 40.721064, 40.721525, 40.722166, 40.722467, 40.721234, 40.720557, 40.718498, 40.717931, 40.717309, 40.720357, 40.721064)))",1,448,47,0,0,0,0,0,0,252,48,0,0,252,150,269,22,0,9,352,23,0,27,231,21,0,0,121,2,0,27,NA,1
"Census Tract 568, Queens County, New York",1601,5192,3739,1453,84589,101306,70625,294,682,717,499,22477,11655,49996,36081056800,4862,924,3938,3735,216,2818,21,517,2,161,203,4056800,"list(list(c(-73.745646, -73.73984, -73.736958, -73.735304, -73.733187, -73.732566, -73.732374, -73.730655, -73.730326, -73.729661, -73.729176, -73.728501, -73.726971, -73.729379, -73.729982, -73.734705, -73.735539, -73.735856, -73.738118, -73.740215, -73.741073, -73.743948, -73.745646, 40.715956, 40.717309, 40.717931, 40.718498, 40.719574, 40.720305, 40.720402, 40.721924, 40.722157, 40.720483, 40.719167, 40.716706, 40.710715, 40.711628, 40.710364, 40.7116, 40.71186, 40.713305, 40.713985, 40.7146, 
40.714852, 40.715675, 40.715956)))",1,1404,239,1,0,0,0,0,0,576,265,0,0,576,804,706,105,11,19,997,334,17,32,487,76,7,6,510,258,10,26,NA,1
"Census Tract 580, Queens County, New York",1098,4240,3415,825,99071,125018,60436,140,808,824,346,21263,32146,45181,36081058000,3589,431,3158,2990,60,2591,22,214,4,99,168,4058000,"list(list(c(-73.736628, -73.735539, -73.734705, -73.729982, -73.729379, -73.726971, -73.727047, -73.726895, -73.726781, -73.726772, -73.726762, -73.727768, -73.732315, -73.734265, -73.734222, -73.73413, -73.732921, -73.732638, -73.73441, -73.735749, -73.736628, 40.709843, 40.71186, 40.7116, 40.710364, 40.711628, 40.710715, 40.709497, 40.7058, 40.703145, 40.702954, 40.702768, 40.703021, 40.70316, 40.70322, 40.703959, 40.705413, 40.708215, 40.708865, 40.709317, 40.709655, 40.709843)))",1,1004,0,2,0,0,0,0,0,721,139,0,0,721,282,789,44,9,18,907,57,14,25,675,31,4,11,232,26,10,14,NA,1
"Census Tract 861, Queens County, New York",796,2121,994,1127,50769,73333,40449,112,322,211,316,11336,18298,24838,36081086100,2450,259,2191,2183,160,22,0,1987,0,14,8,4086100,"list(list(c(-73.820636, -73.817288, -73.81653, -73.816215, -73.815584, -73.815339, -73.817721, -73.818408, -73.820301, -73.81786, -73.818605, -73.819233, -73.820045, -73.820636, 40.758872, 40.759776, 40.758144, 40.75747, 40.756129, 40.755432, 40.754276, 40.75383, 40.755515, 40.757066, 40.757542, 40.757947, 40.758483, 40.758872)))",1,1010,179,0,0,0,0,3,4,54,92,36,447,54,415,85,39,14,15,579,202,35,136,45,8,0,1,206,75,27,107,NA,1
"Census Tract 918, Queens County, New York",7,12,12,0,NA,NA,NA,6,11,11,12,NA,NA,NA,36081091800,12,0,12,12,11,0,0,0,0,1,0,4091800,"list(list(c(-73.885069, -73.879222, -73.871418, -73.869232, -73.86751, -73.866005, -73.86283, -73.862883, -73.863379, -73.863201, -73.86653, -73.865231, -73.864466, -73.8629720953609, -73.8665593342295, -73.8725865174353, -73.878681, -73.8792028158448, -73.8793216484476, -73.88277, -73.883131, -73.886292, -73.885069, 40.573749, 40.574656, 40.578535, 40.579342, 40.580229, 40.581001, 40.576088, 40.57606, 40.575309, 40.574127, 40.572701, 40.570452, 40.569142, 40.5672439226909, 40.5659934572276, 40.5638924584605, 
40.561768, 40.5616374642681, 40.5616077374958, 40.567597, 40.568381, 40.573505, 40.573749)))",1,9,0,0,1,1,1,0,0,9,0,0,0,9,0,8,1,0,0,8,1,0,0,8,1,0,0,0,0,0,0,2020_100y,1
