name,med_hh_inc_tract_estimate,pop_total_tract_estimate,pop_owner_tract_estimate,pop_renter_tract_estimate,med_hh_inc_tract_moe,pop_total_tract_moe,pop_owner_tract_moe,pop_renter_tract_moe,med_hh_inc_tract_moe_rate,pop_total_tract_moe_rate,pop_owner_tract_moe_rate,pop_renter_tract_moe_rate,geoid,geometry,pop_total,pop_hislat,pop_nonhil,pop_nonhil1r,pop_white,pop_black,pop_amind,pop_asian,pop_pacil,pop_other1r,pop_nonhil2r,borough,census_tract_raw,census_tract_predot,census_tract_postdot,bct2020
"Census Tract 31, Bronx County, New York",42228,1858,325,1533,11185,435,161,404,0.2648716491427489,0.2341227125941873,0.49538461538461537,0.26353555120678407,36005003100,"list(list(c(-73.907839, -73.907537, -73.90726, -73.906852, -73.90633, -73.905413, -73.904466, -73.90418, -73.903417, -73.903074, -73.90496, -73.906655, -73.908443, -73.907839, 40.808206, 40.80906, 40.809937, 40.811209, 40.812667, 40.812476, 40.812282, 40.812125, 40.811507, 40.80988, 40.808531, 40.807312, 40.806477, 40.808206)))",2964,1780,1184,1139,35,1014,7,58,0,25,45,2,31,31,00,2003100
"Census Tract 422, Bronx County, New York",54712,2864,1456,1408,22269,740,706,375,0.4070222254715602,0.25837988826815644,0.4848901098901099,0.2663352272727273,36005042200,"list(list(c(-73.858518, -73.858127, -73.857732, -73.857368, -73.855664, -73.854492, -73.853403, -73.851829, -73.851981, -73.853153, -73.85603, -73.858908, -73.858518, 40.891337, 40.892044, 40.892754, 40.893394, 40.892853, 40.892479, 40.892132, 40.89163, 40.890922, 40.8888, 40.889713, 40.890632, 40.891337)))",3211,764,2447,2359,83,2148,13,65,0,50,88,2,422,422,00,2042200
"Census Tract 207, Kings County, New York",135909,4490,2389,2101,29001,594,485,499,0.21338542701366356,0.13229398663697103,0.2030138133110088,0.23750594954783436,36047020700,"list(list(c(-73.969498, -73.969178, -73.966296, -73.963331, -73.963137, -73.962954, -73.966942, -73.967191, -73.967486, -73.968924, -73.968731, -73.968999, -73.969693, -73.969498, 40.675906, 40.676785, 40.67618, 40.675561, 40.674573, 40.67359, 40.674416, 40.673694, 40.672878, 40.672938, 40.673928, 40.674713, 40.67536, 40.675906)))",4871,495,4376,4087,2745,911,9,366,0,56,289,3,207,207,00,3020700
"Census Tract 214, Kings County, New York",59167,2128,819,1309,24302,443,258,444,0.4107357141649906,0.20817669172932332,0.315018315018315,0.3391902215431627,36047021400,"list(list(c(-74.006617, -74.006307, -74.005564, -74.004821, -74.004107, -74.003989, -74.001764, -73.999561, -74.000142, -74.000748, -74.001349, -74.001677, -74.001931, -74.004137, -74.007023, -74.006617, 40.632379, 40.632584, 40.633084, 40.63358, 40.63406, 40.63399, 40.632645, 40.631315, 40.630756, 40.630175, 40.629598, 40.629315, 40.629033, 40.630364, 40.63211, 40.632379)))",2502,184,2318,2283,1017,12,0,1185,0,69,35,3,214,214,00,3021400
"Census Tract 222, Kings County, New York",26683,3991,848,3143,11767,664,369,702,0.4409923921598021,0.16637434227010775,0.43514150943396224,0.22335348393254853,36047022200,"list(list(c(-73.996227, -73.99551, -73.994795, -73.994331, -73.994077, -73.991408, -73.989206, -73.989789, -73.990373, -73.990956, -73.991539, -73.993738, -73.995942, -73.996942, -73.996227, 40.639331, 40.63981, 40.640288, 40.6406, 40.64077, 40.639156, 40.637824, 40.637264, 40.636705, 40.636145, 40.635583, 40.636914, 40.638246, 40.638853, 40.639331)))",5633,506,5127,4957,4407,82,4,183,0,281,170,3,222,222,00,3022200
"Census Tract 227, Kings County, New York",96607,3835,1488,2347,32161,743,691,382,0.33290548303953127,0.19374185136897001,0.4643817204301075,0.16276097145291862,36047022700,"list(list(c(-73.961671, -73.959785, -73.958841, -73.956112, -73.955676, -73.953954, -73.953809, -73.953662, -73.953516, -73.953371, -73.953282, -73.955437, -73.955386, -73.955309, -73.956022, -73.958292, -73.961312, -73.961611, -73.961671, 40.682691, 40.682909, 40.683018, 40.683333, 40.683382, 40.683581, 40.682848, 40.682115, 40.681383, 40.680641, 40.6802, 40.679958, 40.679693, 40.679273, 40.679359, 40.679831, 40.680456, 40.682375, 40.682691)))",4515,545,3970,3652,1446,1816,5,338,3,44,318,3,227,227,00,3022700
"Census Tract 235, Kings County, New York",50950,4997,978,4019,14492,888,397,1018,0.28443572129538763,0.17770662397438464,0.4059304703476483,0.25329684000995273,36047023500,"list(list(c(-73.960158, -73.959311, -73.957997, -73.957087, -73.956143, -73.955826, -73.95541, -73.957272, -73.959428, -73.959844, -73.960158, 40.694117, 40.694215, 40.694366, 40.694471, 40.694579, 40.692993, 40.690908, 40.690694, 40.690448, 40.69253, 40.694117)))",5921,755,5166,4994,3948,532,3,360,0,151,172,3,235,235,00,3023500
"Census Tract 174, Kings County, New York",102037,2155,1543,612,16450,273,259,216,0.16121602947950253,0.12668213457076566,0.1678548282566429,0.35294117647058826,36047017400,"list(list(c(-74.0145033028447, -74.013911, -74.01237, -74.011024, -74.010823, -74.008369, -74.00978, -74.010017, -74.010868, -74.0113698073148, -74.0115370547867, -74.0129345491409, -74.0138336820181, -74.014425, -74.0145033028447, 40.6020502355518, 40.603504, 40.605214, 40.606506, 40.606701, 40.605217, 40.603861, 40.60247, 40.601657, 40.6009472942352, 40.6010069469488, 40.6015053959211, 40.6018260926432, 40.602037, 40.6020502355518)))",1950,237,1713,1682,938,9,0,720,0,15,31,3,174,174,00,3017400
"Census Tract 175, Kings County, New York",NA,0,0,0,NA,12,12,12,NA,Inf,Inf,Inf,36047017500,"list(list(c(-74.000413, -73.998671, -73.995169, -73.992964, -73.992383, -73.990188, -73.989593, -73.989013, -73.988428, -73.986228, -73.981796, -73.981453, -73.98111, -73.980712, -73.980364, -73.980291, -73.981328, -73.981805, -73.983073, -73.985284, -73.98835, -73.989059, -73.991808, -73.993985, -73.996088, -73.998276, -73.997818, -74.002144, -74.000413, 40.654629, 40.656307, 40.659669, 40.658337, 40.658899, 40.657601, 40.658134, 40.658691, 40.65925, 40.657921, 40.655246, 40.653416, 40.651592, 40.649524, 
40.647694, 40.647297, 40.647182, 40.647128, 40.646625, 40.645768, 40.644562, 40.644119, 40.645784, 40.647101, 40.648307, 40.649734, 40.650282, 40.652956, 40.654629)))",5,2,3,2,0,0,0,2,0,0,1,3,175,175,00,3017500
"Census Tract 177, Kings County, New York",NA,0,0,0,NA,12,12,12,NA,Inf,Inf,Inf,36047017700,"list(list(c(-73.980171, -73.978854, -73.978349, -73.977843, -73.977343, -73.976846, -73.976334, -73.975831, -73.975337, -73.974834, -73.974331, -73.973826, -73.973323, -73.97282, -73.972317, -73.971325, -73.970409, -73.970039, -73.969247, -73.968924, -73.967486, -73.966297, -73.962622, -73.962194, -73.961806, -73.961258, -73.960956, -73.962429, -73.962884, -73.962814, -73.9619, -73.964145, -73.966213, -73.965751, -73.965242, -73.964654, -73.965262, -73.967028, -73.968793, -73.969672, -73.971397, 
-73.971916, -73.972082, -73.97262, -73.972683, -73.973051, -73.973555, -73.973792, -73.974482, -73.975157, -73.977511, -73.980061, -73.980171, 40.661155, 40.662202, 40.662799, 40.663402, 40.664012, 40.664607, 40.665214, 40.665815, 40.666419, 40.667022, 40.667621, 40.668223, 40.668825, 40.669427, 40.670029, 40.671248, 40.672617, 40.67268, 40.672743, 40.672938, 40.672878, 40.672677, 40.671629, 40.669641, 40.667681, 40.664802, 40.663285, 40.663125, 40.662622, 40.660504, 40.654871, 40.653995, 40.653189, 
40.6525, 40.651742, 40.650887, 40.650642, 40.649948, 40.649249, 40.648898, 40.648258, 40.650056, 40.650635, 40.650835, 40.652639, 40.653913, 40.655644, 40.656392, 40.658339, 40.658723, 40.659863, 40.660791, 40.661155)))",15,5,10,9,2,7,0,0,0,0,1,3,177,177,00,3017700
"Census Tract 183, Kings County, New York",137500,2663,1046,1617,26944,498,329,439,0.19595636363636362,0.18700713481036424,0.31453154875717015,0.2714904143475572,36047018300,"list(list(c(-73.973855, -73.972911, -73.971872, -73.970859, -73.969831, -73.969521, -73.969103, -73.970131, -73.971142, -73.972136, -73.973126, -73.97354, -73.973855, 40.693287, 40.693251, 40.69321, 40.693172, 40.693135, 40.691564, 40.689468, 40.689506, 40.689544, 40.689582, 40.689622, 40.691707, 40.693287)))",2784,306,2478,2250,1630,425,1,156,0,38,228,3,183,183,00,3018300
"Census Tract 186, Kings County, New York",63942,2255,1059,1196,19228,386,215,392,0.3007100184542241,0.17117516629711751,0.20302171860245516,0.3277591973244147,36047018600,"list(list(c(-74.007599, -74.006434, -74.004234, -74.002031, -74.002614, -74.003196, -74.003778, -74.004175, -74.005979, -74.008177, -74.007599, 40.616695, 40.617814, 40.616482, 40.615153, 40.614594, 40.614035, 40.613475, 40.613715, 40.614804, 40.616133, 40.616695)))",2364,287,2077,2050,809,20,5,1216,0,0,27,3,186,186,00,3018600
"Census Tract 187, Kings County, New York",89375,1373,405,968,21090,227,181,152,0.23597202797202796,0.16533139111434814,0.4469135802469136,0.15702479338842976,36047018700,"list(list(c(-73.97247, -73.971462, -73.969399, -73.96881, -73.969831, -73.970859, -73.971872, -73.972451, -73.97247, 40.696207, 40.696187, 40.696093, 40.693121, 40.693135, 40.693172, 40.69321, 40.696112, 40.696207)))",1336,217,1119,1039,667,236,0,102,1,33,80,3,187,187,00,3018700
"Census Tract 192, Kings County, New York",44564,2697,974,1723,16624,466,273,501,0.37303653172964724,0.1727845754542084,0.2802874743326489,0.2907719094602438,36047019200,"list(list(c(-74.001931, -74.001677, -74.001349, -74.000748, -74.000142, -73.999561, -73.997359, -73.996115, -73.996336, -73.996702, -73.996788, -73.996878, -73.997017, -73.997241, -73.998117, -74.000314, -74.002515, -74.001931, 40.629033, 40.629315, 40.629598, 40.630175, 40.630756, 40.631315, 40.629986, 40.629232, 40.628445, 40.627172, 40.626826, 40.62653, 40.626062, 40.625289, 40.625816, 40.627145, 40.628475, 40.629033)))",3541,677,2864,2813,1492,23,0,1194,0,104,51,3,192,192,00,3019200
