ct2010,fz20_100y,fz50_100y,fz50_500y,in_fz,fz_cat,objectid,geoid,state,county,tract,eacode,eaname,hcv_public,hcv_pct_re,hcv_publ_1,shape_leng,shape_area,geometry
1000100,0,0,0,0,NA,52223,36061000100,36,061,000100,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",NA,NA,NA,0.01744284296564,7.849337792e-6,"list(list(c(-74.044208, -74.044392833, -74.044411154, -74.044569, -74.044794, -74.0450739999999, -74.0453699999999, -74.0456159989999, -74.0458829999999, -74.046143999, -74.046401671, -74.046609836, -74.046751, -74.046995, -74.0471865759999, -74.047197478, -74.047133, -74.0471039999999, -74.047118999, -74.047183999, -74.0472119999999, -74.04721481, -74.047229767, -74.0458698269999, -74.043912888, -74.0435547289999, -74.0435209999999, -74.043513, -74.043556, -74.0435860009999, -74.0436579999999, -74.043802999, 
-74.043977, -74.044208, 40.6886079990001, 40.6885431110001, 40.6885454150001, 40.6885809990001, 40.688657999, 40.6887349990001, 40.6888779990001, 40.689021999, 40.6891429990001, 40.689269999, 40.689443887, 40.6896874190001, 40.6898589990001, 40.690172999, 40.690390999, 40.6905254550001, 40.6905419990001, 40.6905639990001, 40.690645999, 40.690684999, 40.6907229990001, 40.6907392190001, 40.69092369, 40.691057205, 40.6901874540001, 40.6897200280001, 40.689587999, 40.689273998, 40.6891469990001, 40.6889819990001, 
40.688861, 40.6887569990001, 40.688657999, 40.6886079990001)), list(c(-74.0403759989999, -74.040329, -74.040283, -74.040249, -74.0401869999999, -74.040153001, -74.0401209999999, -74.040082, -74.040048, -74.040021999, -74.039994, -74.0399659999999, -74.039934, -74.0399, -74.039859, -74.039825, -74.0397829999999, -74.039745, -74.0397129999999, -74.039688999, -74.039665, -74.039622, -74.039586, -74.039547, -74.0395110009999, -74.039477, -74.039428, -74.0393809999999, -74.0393299999999, -74.0392869999999, 
-74.039255, -74.039163, -74.039121, -74.039075, -74.039024, -74.03899, -74.038936, -74.038892999, -74.0388799999999, -74.0388379999999, -74.0388149999999, -74.038802, -74.0387959989999, -74.038783, -74.0387719999999, -74.038759, -74.038742, -74.0387230009999, -74.038697, -74.038664, -74.038632, -74.038598, -74.038561, -74.038533001, -74.03851, -74.038494, -74.038497999, -74.038467, -74.038459, -74.038463, -74.038467, -74.038455001, -74.038435001, -74.038396, -74.03838, -74.0383679999999, -74.038372, 
-74.038392, -74.03842, -74.0384529999999, -74.038505, -74.038527, -74.038569001, -74.038606, -74.038623, -74.038603, -74.038620999, -74.0386339999999, -74.038653, -74.0386809999999, -74.038712, -74.038744, -74.03878, -74.038827, -74.038879, -74.0389249999999, -74.03896, -74.039005999, -74.0390610009999, -74.039115, -74.039168, -74.039205, -74.0392449999999, -74.0392849999999, -74.039317, -74.039341, -74.039365, -74.039375999, -74.039411, -74.039438, -74.0394689999999, -74.0394879999999, -74.039508, 
-74.0395379999999, -74.039585, -74.0396319989999, -74.0396509999999, -74.0396699999999, -74.039931, -74.0400779999999, -74.0402339999999, -74.040215, -74.0401449999999, -74.0400960009999, -74.0400589989999, -74.040044, -74.0400279999999, -74.039985999, -74.039951, -74.03991, -74.039867999, -74.039824, -74.039798, -74.039796, -74.039817, -74.039846, -74.039862999, -74.0398989999999, -74.039948, -74.03998, -74.04007, -74.040158, -74.0401859999999, -74.040190001, -74.040190001, -74.0402109999999, -74.040243, 
-74.0402779999999, -74.040316, -74.0403509989999, -74.040402, -74.040426001, -74.0404379999999, -74.040455, -74.040467, -74.040466001, -74.04047, -74.0404839999999, -74.040512, -74.040531, -74.040553, -74.040578, -74.040600001, -74.040612, -74.0406169999999, -74.0406149999999, -74.040624, -74.0406439989999, -74.0406629989999, -74.040674, -74.040674, -74.040683999, -74.0406869999999, -74.040691, -74.040702, -74.040719, -74.040739999, -74.040747, -74.0407299999999, -74.040697, -74.040647999, -74.040612, 
-74.0405689999999, -74.0405279999999, -74.040496, -74.0404599999999, -74.0404149999999, -74.0403759989999, 40.700112, 40.700100999, 40.7001109990001, 40.700116999, 40.7001139990001, 40.7001029990001, 40.700100999, 40.7000919990001, 40.700074, 40.7000609990001, 40.7000409990001, 40.7000179990001, 40.6999939990001, 40.699980999, 40.699965999, 40.6999549990001, 40.6999519990001, 40.6999499990001, 40.6999279990001, 40.699898999, 40.699872999, 40.6998559990001, 40.699852999, 40.6998429990001, 40.6998160000001, 
40.699782, 40.699762999, 40.6997499990001, 40.6997269990001, 40.6997079990001, 40.6996869980001, 40.6996769990001, 40.699670999, 40.699667999, 40.6996619990001, 40.6996619990001, 40.6996549990001, 40.699624999, 40.699601999, 40.699561999, 40.699531999, 40.699486999, 40.6994389990001, 40.6994059990001, 40.699397999, 40.6993679990001, 40.699334998, 40.6993019990001, 40.6992789990001, 40.699262999, 40.699238999, 40.6992099990001, 40.699192999, 40.699171999, 40.699146999, 40.6991149990001, 40.6990739990001, 
40.699017, 40.6989810000001, 40.698924, 40.6988699990001, 40.6988249990001, 40.698791999, 40.6987290000001, 40.6987139990001, 40.6986870000001, 40.6986689990001, 40.6986659990001, 40.6986649990001, 40.698680999, 40.698701999, 40.6987119990001, 40.6987299990001, 40.6987179990001, 40.698697999, 40.698676999, 40.6986709990001, 40.6986669990001, 40.6986629990001, 40.698659999, 40.698653999, 40.698636999, 40.698635999, 40.6986239990001, 40.698611, 40.698606999, 40.6985949990001, 40.698593999, 40.6985969990001, 
40.6985920000001, 40.6985949990001, 40.6986039990001, 40.698613998, 40.698631999, 40.6986649990001, 40.698683999, 40.6987089990001, 40.6987309990001, 40.6987369990001, 40.6987389990001, 40.6987519990001, 40.6987769990001, 40.6987799990001, 40.698786999, 40.698789999, 40.698789999, 40.698794999, 40.6987749990001, 40.698589999, 40.6987149990001, 40.698832999, 40.6988539990001, 40.6988969990001, 40.6989339990001, 40.698906998, 40.698902999, 40.6988979990001, 40.6988869990001, 40.698882, 40.698882999, 
40.6988929990001, 40.6989109990001, 40.6989369990001, 40.6989769990001, 40.6990089990001, 40.6990319990001, 40.6990449990001, 40.6990679990001, 40.6990979990001, 40.6991239990001, 40.699171999, 40.699197, 40.699214999, 40.699244999, 40.6992779990001, 40.6993149990001, 40.699333, 40.699350999, 40.6993649990001, 40.699374999, 40.6993929990001, 40.6994129980001, 40.6994379990001, 40.699467, 40.699492999, 40.699528, 40.699557999, 40.6995949990001, 40.699626999, 40.6996569990001, 40.6996799990001, 40.699709999, 
40.699738999, 40.6997659990001, 40.6998029980001, 40.699827999, 40.6998600000001, 40.6998829990001, 40.6999069990001, 40.699934999, 40.699961999, 40.699982999, 40.700009999, 40.70005, 40.700071, 40.700095999, 40.7001309990001, 40.700166999, 40.7001929990001, 40.700214999, 40.700213999, 40.7002009990001, 40.700187999, 40.7001759990001, 40.700161999, 40.7001489990001, 40.7001259990001, 40.700112)))"
1000201,1,1,1,1,2020_100y,53582,36061000201,36,061,000201,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",26,2.56999993,2.56999993,0.015042962660566,9.602123681e-6,"list(list(c(-73.984548175, -73.986546805, -73.9866049999999, -73.986612, -73.9866200009999, -73.9867419999999, -73.986926, -73.987062, -73.9871650009999, -73.986077, -73.9853439999999, -73.985243, -73.985114, -73.985058, -73.984949999, -73.984855, -73.984785, -73.984703, -73.984684, -73.9846649999999, -73.984655, -73.984548175, 40.7095055510001, 40.7093104840001, 40.7102839990001, 40.7103910000001, 40.7104640000001, 40.711535999, 40.7129029990001, 40.7136379990001, 40.714311998, 40.7144009990001, 
40.714461999, 40.7138459990001, 40.713786999, 40.7130779990001, 40.7123549990001, 40.711712999, 40.7112290000001, 40.710701999, 40.710605, 40.7105139990001, 40.7104649990001, 40.7095055510001)), list(c(-73.985852, -73.98630629, -73.986297607, -73.985785908, -73.985852, 40.705414999, 40.7053634820001, 40.7054042820001, 40.705421636, 40.705414999)))"
1000202,1,1,1,1,2020_100y,53583,36061000202,36,061,000202,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",92,3.69000006,3.69000006,0.029898024573952,3.3125864042e-5,"list(list(c(-73.981269836, -73.984548175, -73.984655, -73.9846649999999, -73.984684, -73.984703, -73.984785, -73.984855, -73.984949999, -73.985058, -73.985114, -73.985243, -73.9853439999999, -73.984706, -73.98312, -73.982786, -73.982453, -73.982342, -73.9816499999999, -73.980923, -73.9799619999999, -73.9792899999999, -73.9784339989999, -73.977587, -73.9773769999999, -73.977245, -73.9759568759999, -73.976425171, -73.978033066, -73.981170654, -73.981334686, -73.981269836, 40.7098255160001, 40.7095055510001, 
40.7104649990001, 40.7105139990001, 40.710605, 40.710701999, 40.7112290000001, 40.711712999, 40.7123549990001, 40.7130779990001, 40.713786999, 40.7138459990001, 40.714461999, 40.7145119990001, 40.714617999, 40.714658, 40.7146990000001, 40.714658, 40.714460999, 40.714263999, 40.7139729990001, 40.713761999, 40.7135039990001, 40.7132539990001, 40.7131919990001, 40.713152999, 40.7129114750001, 40.7119045260001, 40.7105388640001, 40.710237503, 40.7101917270001, 40.7098255160001)), list(c(-73.98308, -73.98308, 
-73.9832269999999, -73.983351, -73.983398, -73.9834069899999, -73.98308, 40.7055134070001, 40.705479999, 40.705481999, 40.705450999, 40.7054669990001, 40.7055023180001, 40.7055134070001)), list(c(-73.980910764, -73.980987, -73.9818559999999, -73.9820329999999, -73.98221, -73.9823289999999, -73.982449001, -73.982455, -73.9825719999999, -73.9826833779999, -73.9824733739999, -73.982387542, -73.98106575, -73.980910764, 40.705881919, 40.7053740000001, 40.7054899990001, 40.705515, 40.7055399990001, 40.7055520000001, 
40.705546999, 40.7055089990001, 40.7055179990001, 40.705526859, 40.705533981, 40.7058124540001, 40.7058925630001, 40.705881919)))"
1000500,0,0,0,0,NA,53584,36061000500,36,061,000500,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",NA,NA,NA,0.107985642276823,8.8080353658e-5,"list(list(c(-74.014245987, -74.013458252, -74.0125408169999, -74.0123367309999, -74.011722564, -74.011671067, -74.011972427, -74.012395859, -74.0134029389999, -74.012237549, -74.012332917, -74.013269425, -74.014896393, -74.0162277219999, -74.023460388, -74.025512696, -74.026397705, -74.0266742699999, -74.026384354, -74.0202102659999, -74.019760132, -74.016750335, -74.014245987, 40.6927967070001, 40.692094803, 40.6922702790001, 40.692651749, 40.692468643, 40.6922588350001, 40.691991806, 40.6922321320001, 
40.6920375820001, 40.691057205, 40.6892337800001, 40.6881313320001, 40.687234878, 40.6872158050001, 40.684000015, 40.684118271, 40.6848278040001, 40.685518265, 40.6862697600001, 40.692022324, 40.693098068, 40.6933116910001, 40.6927967070001)), list(c(-74.018925, -74.018958083, -74.018927043, -74.018925, 40.6798419990001, 40.6798248040001, 40.679843971, 40.6798419990001)), list(c(-74.0172899999999, -74.01744, -74.017463, -74.0175589999999, -74.017574, -74.017644, -74.017669207, -74.0153013029999, 
-74.015237, -74.015345, -74.016309, -74.016519999, -74.0172899999999, 40.680730999, 40.6806359980001, 40.6806319990001, 40.680644999, 40.680643999, 40.680597999, 40.6806206480001, 40.6820827340001, 40.681996, 40.681897, 40.681319999, 40.6811939990001, 40.680730999)), list(c(-74.012783051, -74.012694193, -74.0127679999999, -74.012829896, -74.012783051, 40.6836376190001, 40.683533331, 40.6836049990001, 40.683608695, 40.6836376190001)), list(c(-74.008138657, -74.007892609, -74.0072553049999, -74.0074109999999, 
-74.0074969999999, -74.007536, -74.007623, -74.00767, -74.0077299989999, -74.007778, -74.0078429989999, -74.007899, -74.0079289999999, -74.0079499999999, -74.008164, -74.008425001, -74.0085129999999, -74.008595, -74.0109400009999, -74.0118781469999, -74.012067795, -74.008138657, 40.6864452360001, 40.686288834, 40.6864445310001, 40.686387999, 40.686343999, 40.686314999, 40.6862849990001, 40.686268999, 40.686253999, 40.686245, 40.6862379990001, 40.686250999, 40.686275999, 40.686292999, 40.6861749990001, 
40.6860159990001, 40.685962999, 40.6859039990001, 40.6844849990001, 40.683921539, 40.6841373450001, 40.6864452360001)), list(c(-74.00697136, -74.0059730409999, -74.0063499999999, -74.006406, -74.006444, -74.0065059999999, -74.006594, -74.006754999, -74.006875, -74.006989, -74.006989747, -74.00697136, 40.6865139010001, 40.6862232290001, 40.6862849990001, 40.6862889990001, 40.686295999, 40.686313999, 40.6863469990001, 40.686412999, 40.6864639990001, 40.6865089990001, 40.6865094080001, 40.6865139010001
)), list(c(-74.001926612, -74.001963, -74.001997429, -74.001926612, 40.6902193620001, 40.6901359990001, 40.690147209, 40.6902193620001)), list(c(-74.003409, -74.00382, -74.0039189999999, -74.0045929999999, -74.005038, -74.0056299999999, -74.0058243829999, -74.00566101, -74.0077590939999, -74.0074005129999, -74.005056381, -74.0046386719999, -74.006725311, -74.00639534, -74.0038280479999, -74.0034446719999, -74.005699157, -74.005376816, -74.003005457, -74.003024, -74.003409, 40.6896129990001, 40.688929999, 
40.68886, 40.6882150000001, 40.687560999, 40.6867839990001, 40.6863243340001, 40.6867847440001, 40.687391281, 40.6882076260001, 40.687597275, 40.6882190700001, 40.688806534, 40.6896114350001, 40.6889934540001, 40.6896076200001, 40.6902256010001, 40.6910190580001, 40.690395654, 40.690348999, 40.6896129990001)), list(c(-74.001277, -74.001317, -74.001541999, -74.001744, -74.001818, -74.001969, -74.0013319989999, -74.000699001, -74.000950378, -74.000741959, -74.004743576, -74.0045242309999, -74.002063751, 
-74.001783371, -74.003889084, -74.003498077, -74.001338959, -74.001058578, -74.002937317, -74.002926138, -74.002333, -74.001727, -74.000959, -74.001193999, -74.001277, 40.693297999, 40.693208, 40.6927859990001, 40.6924069990001, 40.692221999, 40.6918430000001, 40.691224999, 40.6906119990001, 40.6901496940001, 40.6905994410001, 40.6917171480001, 40.6923427580001, 40.691823959, 40.692415237, 40.69319725, 40.693986893, 40.693288803, 40.6940670010001, 40.694719315, 40.6947395550001, 40.694532999, 40.6943219990001, 
40.6940689990001, 40.693483998, 40.693297999)))"
1000600,1,1,1,1,2020_100y,53585,36061000600,36,061,000600,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",234,6.01000023,6.01000023,0.021789991426667,2.5750504877e-5,"list(list(c(-73.99022, -73.989336999, -73.988703, -73.9871650009999, -73.987062, -73.986926, -73.9867419999999, -73.9866200009999, -73.986612, -73.9866049999999, -73.986546805, -73.9884223939999, -73.988737106, -73.991903881, -73.9919389999999, -73.99197, -73.9920279999999, -73.9920749999999, -73.991995, -73.9918969999999, -73.99186, -73.991777, -73.991977, -73.992183, -73.992267, -73.9923919999999, -73.992468, -73.992562, -73.992134, -73.991225, -73.990755, -73.99022, 40.7144049990001, 40.7141329990001, 
40.7141849990001, 40.714311998, 40.7136379990001, 40.7129029990001, 40.711535999, 40.7104640000001, 40.7103910000001, 40.7102839990001, 40.7093104840001, 40.7091274260001, 40.7099628450001, 40.7094677170001, 40.709527999, 40.7095860000001, 40.709692998, 40.7097709990001, 40.7097860000001, 40.709801999, 40.7098079990001, 40.709818999, 40.7109109990001, 40.711775, 40.7124679990001, 40.7131909990001, 40.713856999, 40.7143879990001, 40.714419999, 40.714486998, 40.714553999, 40.7144049990001)))"
1000700,1,1,1,1,2020_100y,53586,36061000700,36,061,000700,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",NA,NA,NA,0.041398539312747,2.587309166e-5,"list(list(c(-74.007459, -74.006781, -74.006021, -74.005522, -74.0047489999999, -74.004633, -74.00456, -74.004347965, -74.0044975279999, -74.00447947, -74.0045519999999, -74.004206, -74.004055009, -74.004800796, -74.0051650999999, -74.005247116, -74.00415802, -74.004198074, -74.005565643, -74.006134034, -74.00656128, -74.0054359439999, -74.006793976, -74.0078161339999, -74.007851, -74.007865, -74.0079029999999, -74.0079259999999, -74.0079489999999, -74.00798, -74.008541, -74.0089859999999, -74.009103, 
-74.009462, -74.0097469999999, -74.009984, -74.0099949999999, -74.009866, -74.01042, -74.0111899999999, -74.011873, -74.0124, -74.012508, -74.011947, -74.011703, -74.011248001, -74.0110119999999, -74.010846, -74.010542, -74.0096599999999, -74.009371, -74.008269, -74.007459, 40.7072189990001, 40.7067240000001, 40.7061419990001, 40.705790999, 40.705231999, 40.705159, 40.7051050000001, 40.7049712840001, 40.704904556, 40.7048810420001, 40.7048379990001, 40.704282999, 40.7040266550001, 40.7046337130001, 
40.704442978, 40.704175949, 40.7031803130001, 40.703016281, 40.704034805, 40.703954696, 40.703683853, 40.7025203700001, 40.7035541540001, 40.702898228, 40.702999999, 40.703019999, 40.7030789990001, 40.7031079990001, 40.703139999, 40.7031889990001, 40.703697, 40.704078999, 40.704192999, 40.7045449990001, 40.7047749990001, 40.7051479990001, 40.7053309990001, 40.705796999, 40.7059980000001, 40.7062779990001, 40.7065519990001, 40.706784999, 40.7067669990001, 40.7074519990001, 40.7077560000001, 40.7083039990001, 
40.7085939990001, 40.7087969990001, 40.7091539990001, 40.7087559990001, 40.7086140000001, 40.7077219980001, 40.7072189990001)), list(c(-73.998289378, -73.998376, -73.998402545, -73.998289378, 40.6982277910001, 40.698047999, 40.698056826, 40.6982277910001)), list(c(-73.998032, -73.9980390169999, -74.000032425, -73.9995250709999, -73.997496683, -73.9974999999999, -73.998032, 40.6987619990001, 40.6987474330001, 40.6994419100001, 40.7002506260001, 40.6996580630001, 40.6996529990001, 40.6987619990001)), 
    list(c(-73.996698001, -73.9974106509999, -73.997205735, -73.9986228939999, -73.998102573, -73.996698001, 40.7008769990001, 40.699789364, 40.7001438140001, 40.7010097510001, 40.701509496, 40.7008769990001)))"
1000800,1,1,1,1,2020_100y,53563,36061000800,36,061,000800,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",96,2.78999996,2.78999996,0.019971896531,2.3791038221e-5,"list(list(c(-73.992562, -73.992468, -73.9923919999999, -73.992267, -73.992183, -73.991977, -73.991777, -73.99186, -73.9918969999999, -73.991995, -73.9920749999999, -73.9920279999999, -73.99197, -73.9919389999999, -73.991903881, -73.995972792, -73.996005, -73.996032, -73.996044, -73.9960629989999, -73.9962219989999, -73.996354001, -73.9964439999999, -73.9967819999999, -73.996947, -73.9971169999999, -73.9972999999999, -73.9975039999999, -73.997444, -73.996477999, -73.99484, -73.994657, -73.9945, -73.9943469999999, 
-73.99414, -73.993951, -73.993016, -73.992852, -73.992562, 40.7143879990001, 40.713856999, 40.7131909990001, 40.7124679990001, 40.711775, 40.7109109990001, 40.709818999, 40.7098079990001, 40.709801999, 40.7097860000001, 40.7097709990001, 40.709692998, 40.7095860000001, 40.709527999, 40.7094677170001, 40.7088315350001, 40.7088949990001, 40.7089979990001, 40.7090479990001, 40.7091189990001, 40.7091810000001, 40.7097849990001, 40.7101989990001, 40.7113639990001, 40.712071999, 40.712798999, 40.713467999, 
40.7140689990001, 40.7140669990001, 40.7141069990001, 40.714208999, 40.7142199990001, 40.7142309990001, 40.7142469990001, 40.7142690000001, 40.7142910000001, 40.7143559990001, 40.714366999, 40.7143879990001)), list(c(-73.993706426, -73.993693, -73.993716978, -73.993706426, 40.7045055340001, 40.7044759990001, 40.7045042730001, 40.7045055340001)))"
1000900,1,1,1,1,2020_100y,52322,36061000900,36,061,000900,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",NA,NA,NA,0.048365051204923,3.0421171083e-5,"list(list(c(-74.0092906959999, -74.008386612, -74.008630753, -74.009605408, -74.0111866, -74.010795593, -74.011367798, -74.0113582609999, -74.0117187499999, -74.011644363, -74.01205635, -74.011968613, -74.012395859, -74.012609482, -74.012653351, -74.0131320959999, -74.013114929, -74.0132980349999, -74.013558226, -74.013583, -74.013639187, -74.01361847, -74.0136852479999, -74.013708, -74.013723, -74.013748, -74.013814, -74.0139789999999, -74.014011, -74.014004999, -74.013991, -74.013967, -74.013929, 
-74.0138719999999, -74.013839, -74.0138219999999, -74.013809, -74.013834, -74.0142059999999, -74.014312, -74.014354, -74.0143869999999, -74.0144129999999, -74.0144299999999, -74.014392001, -74.014255001, -74.014254001, -74.014259, -74.014271, -74.014289, -74.0132859989999, -74.0133259999999, -74.013352001, -74.01336, -74.0133499999999, -74.013318, -74.013272, -74.013254, -74.012508, -74.0124, -74.011873, -74.0111899999999, -74.01042, -74.009866, -74.0099949999999, -74.009984, -74.0097469999999, -74.009462, 
-74.009103, -74.0089859999999, -74.008541, -74.00798, -74.0079489999999, -74.0079259999999, -74.0079029999999, -74.007865, -74.007851, -74.0078161339999, -74.0092906959999, 40.701951981, 40.700654984, 40.700567246, 40.7018642420001, 40.7014560700001, 40.7001857760001, 40.7008419040001, 40.7005596160001, 40.7007350920001, 40.700445175, 40.700654984, 40.700037003, 40.7005825040001, 40.7005558020001, 40.7001094820001, 40.7004909520001, 40.6997585290001, 40.700483322, 40.7002282340001, 40.700370999, 
40.700685202, 40.700937271, 40.70094277, 40.701069999, 40.701132999, 40.701199999, 40.7013059990001, 40.7015309990001, 40.7019759990001, 40.7019979990001, 40.7020179990001, 40.7020439990001, 40.7020669990001, 40.7020820000001, 40.7020919990001, 40.702104999, 40.7021329990001, 40.7024059990001, 40.7027369990001, 40.702863999, 40.702932999, 40.703003999, 40.7030760000001, 40.7031509990001, 40.7035979990001, 40.704424999, 40.704460999, 40.704488999, 40.7045200000001, 40.7045489990001, 40.7046550000001, 
40.705030999, 40.705183999, 40.705346999, 40.705502999, 40.7056729990001, 40.7058240000001, 40.7058709990001, 40.7067669990001, 40.706784999, 40.7065519990001, 40.7062779990001, 40.7059980000001, 40.705796999, 40.7053309990001, 40.7051479990001, 40.7047749990001, 40.7045449990001, 40.704192999, 40.704078999, 40.703697, 40.7031889990001, 40.703139999, 40.7031079990001, 40.7030789990001, 40.703019999, 40.702999999, 40.702898228, 40.701951981)), list(c(-73.998965028, -73.998991, -73.9990170299999, -73.998965028, 
40.6968776950001, 40.696811999, 40.696821948, 40.6968776950001)), list(c(-73.999882, -74.000277, -74.0007009999999, -74.000959, -74.001727, -74.002333, -74.002926138, -74.002433777, -74.000368118, -73.999437332, -73.999607086, -73.9994201659999, -73.9992132259999, -73.999295, -73.999474, -73.999535, -73.999478, -73.999428, -73.99942, -73.9994609999999, -73.999604, -73.999882, 40.6956049990001, 40.6949589990001, 40.6943879990001, 40.6940689990001, 40.6943219990001, 40.694532999, 40.6947395550001, 
40.695631027, 40.6949977880001, 40.6963558200001, 40.6965465550001, 40.696901322, 40.6968601300001, 40.6967950000001, 40.6967039990001, 40.6965779990001, 40.6964659990001, 40.696409999, 40.696360999, 40.6962799990001, 40.696068999, 40.6956049990001)), list(c(-73.9987795709999, -73.998857, -73.998912473, -73.9987795709999, 40.6970765040001, 40.696919999, 40.696934034, 40.6970765040001)), list(c(-74.000482559, -73.9984073639999, -73.998402545, -73.998376, -73.9988470009999, -73.9987629999999, -73.998779406, 
-74.000968933, -74.000482559, 40.6987476350001, 40.698049546, 40.698056826, 40.698047999, 40.6971409990001, 40.6971099990001, 40.697076838, 40.697881699, 40.6987476350001)))"
1001001,1,1,1,1,2020_100y,52242,36061001001,36,061,001001,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",NA,NA,NA,0.017141670315817,8.721698646e-6,"list(list(c(-73.9751857799999, -73.9759568759999, -73.977245, -73.9773769999999, -73.977587, -73.9784339989999, -73.9792899999999, -73.9799619999999, -73.979495, -73.9792219999999, -73.979134001, -73.979102, -73.9790199989999, -73.9789920009999, -73.978909, -73.9785429999999, -73.978438, -73.978083, -73.9779169999999, -73.9772399999999, -73.976457001, -73.9765869999999, -73.976614, -73.976554, -73.9764539999999, -73.9764, -73.976344001, -73.975227, -73.9751857799999, 40.71456949, 40.7129114750001, 
40.713152999, 40.7131919990001, 40.7132539990001, 40.7135039990001, 40.713761999, 40.7139729990001, 40.714889999, 40.715402999, 40.7155529990001, 40.715611999, 40.715747999, 40.7157979990001, 40.715950999, 40.715836999, 40.7158039990001, 40.715692, 40.7156489990001, 40.7154849980001, 40.715298999, 40.715046999, 40.7149949990001, 40.714977999, 40.7149489990001, 40.714930999, 40.714916999, 40.7145820000001, 40.71456949)), list(c(-73.969613001, -73.969624805, -73.969755576, -73.969613001, 40.7076339990001, 
40.7076289240001, 40.707851551, 40.7076339990001)), list(c(-73.969888, -73.969858222, -73.9699058529999, -73.969940186, -73.969939385, -73.969888, 40.7087700000001, 40.70822844, 40.7085895540001, 40.7092914580001, 40.7092935480001, 40.7087700000001)), list(c(-73.969412107, -73.9695826289999, -73.969953537, -73.969412107, 40.7109794030001, 40.710280396, 40.7104549410001, 40.7109794030001)))"
1001002,1,1,1,1,2020_100y,52323,36061001002,36,061,001002,118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",NA,NA,NA,0.022818806405726,2.1916262277e-5,"list(list(c(-73.9751189999999, -73.974995001, -73.9749229999999, -73.9748739999999, -73.9747419999999, -73.9736349999999, -73.973609047, -73.9744949349999, -73.9751857799999, -73.975227, -73.976344001, -73.9764, -73.9764539999999, -73.976554, -73.976614, -73.9765869999999, -73.976457001, -73.9772399999999, -73.9779169999999, -73.978083, -73.978438, -73.9785429999999, -73.978909, -73.97909, -73.980022, -73.980577001, -73.980229999, -73.979992001, -73.9799649999999, -73.979485999, -73.979416, -73.979038999, 
-73.978753, -73.978034, -73.977223999, -73.977052, -73.976738, -73.976481, -73.976355, -73.97614, -73.975452, -73.9751189999999, 40.718753, 40.7187459990001, 40.718765999, 40.7187789990001, 40.7188409990001, 40.7186119990001, 40.7186007220001, 40.7160549160001, 40.71456949, 40.7145820000001, 40.714916999, 40.714930999, 40.7149489990001, 40.714977999, 40.7149949990001, 40.715046999, 40.715298999, 40.7154849980001, 40.7156489990001, 40.715692, 40.7158039990001, 40.715836999, 40.715950999, 40.7160049990001, 
40.716286999, 40.7164550000001, 40.717095999, 40.7175399990001, 40.717589999, 40.7185279990001, 40.7186659990001, 40.7193869990001, 40.719933999, 40.719639999, 40.7193099990001, 40.719275999, 40.719213999, 40.719162999, 40.7191329990001, 40.7190880000001, 40.718946999, 40.718753)), list(c(-73.968656817, -73.9687024799999, -73.968690872, -73.968656817, 40.7128310370001, 40.7127902010001, 40.712823868, 40.7128310370001)), list(c(-73.968469, -73.9685223929999, -73.968828201, -73.968318123, -73.9683699999999, 
-73.968469, 40.712999, 40.712951251, 40.7132167820001, 40.714259294, 40.714126999, 40.712999)))"
