name,poptot,pwhit,pblck,phisp,pasin,poth,prent,pownr,mhhinc,fz_cat,fzr20_100y,fzr50_100y,bct2020,tract,key
"Census Tract 127.01, Bronx County, New York",2184,0.015567765567765568,0.22527472527472528,0.7174908424908425,0.020604395604395604,0.021062271062270987,0.8211382113821138,0.17886178861788618,38000,Not in flood zone,0,0,2012701,012701,005012701
"Census Tract 373, Bronx County, New York",6117,0.01781919241458231,0.30734019944417196,0.6382213503351316,0.0070295896681379765,0.029589668137976255,0.8865706242755423,0.11342937572445769,28083,Not in flood zone,0,0,2037300,037300,005037300
"Census Tract 119, Bronx County, New York",5703,0.02191828862002455,0.25056987550412063,0.7027880063124671,0.00438365772400491,0.02034017183938286,0.9462987134066754,0.05370128659332463,30417,Not in flood zone,0,0,2011900,011900,005011900
"Census Tract 391, Bronx County, New York",7210,0.07766990291262135,0.13675450762829403,0.7509015256588072,0.014563106796116505,0.02011095700416088,0.9229133439659756,0.07708665603402445,30923,Not in flood zone,0,0,2039100,039100,005039100
"Census Tract 79, Bronx County, New York",6826,0.014796366832698506,0.23762086141224728,0.7162320539115148,0.009815411661295048,0.021535306182244418,0.9637702946482261,0.0362297053517739,31083,Not in flood zone,0,0,2007900,007900,005007900
"Census Tract 206.01, Bronx County, New York",3277,0.07415318889227952,0.10588953310955142,0.4842844064693317,0.2828806835520293,0.05279218797680807,0.6286644951140065,0.3713355048859935,48654,Not in flood zone,0,0,2020601,020601,005020601
"Census Tract 35, Bronx County, New York",3726,0.03274288781535158,0.24798711755233493,0.6956521739130435,0.0067096081588835215,0.01690821256038655,0.9495956873315364,0.05040431266846361,29068,Not in flood zone,0,0,2003500,003500,005003500
"Census Tract 215.01, Bronx County, New York",4078,0.012015693967631191,0.2278077488965179,0.7368808239333007,0.005149583128984796,0.01814615007356546,0.9771721406941533,0.02282785930584673,39875,Not in flood zone,0,0,2021501,021501,005021501
"Census Tract 418, Bronx County, New York",3752,0.04397654584221748,0.47761194029850745,0.3331556503198294,0.055170575692963755,0.09008528784648184,0.6833621185952792,0.31663788140472077,52396,Not in flood zone,0,0,2041800,041800,005041800
"Census Tract 269, Bronx County, New York",4126,0.03780901599612215,0.1718371303926321,0.7486669898206495,0.021570528356761997,0.020116335433834287,0.8752777777777778,0.12472222222222222,25039,Not in flood zone,0,0,2026900,026900,005026900
"Census Tract 158, Bronx County, New York",1442,0.35575589459084606,0.049930651872399444,0.5374479889042996,0.027739251040221916,0.029126213592232997,0.5042340261739799,0.49576597382602,64712,Not in flood zone,0,0,2015800,015800,005015800
"Census Tract 340, Bronx County, New York",4858,0.08686702346644709,0.33902840675174967,0.47447509263071225,0.05640181144503911,0.043227665706051965,0.8286426790167438,0.17135732098325615,58117,Not in flood zone,0,0,2034000,034000,005034000
